lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000220,93.8,89.025,100.0
E01000221,66.025,52.25,95.9
E01000222,73.51249999999999,48.7,98.275
E01000223,82.808333325,82.9,99.825
E01000224,81.175,84.225,99.85
E01000225,95.42500000000001,64.7,100.0
E01000226,117.96,97.42,100.0
E01000227,141.26,86.64,98.4
E01000228,47.425,0.175,91.8
E01000229,97.44,75.46000000000001,87.5
E01000230,106.78,73.28,100.0
E01000231,61.839999999999996,20.0,90.08
E01000232,124.04,82.47999999999999,100.0
E01000233,130.76,82.52000000000001,99.88
E01000234,107.78,86.86,100.0
E01000235,123.0,87.525,100.0
E01000236,75.12,48.980000000000004,100.0
E01000237,105.4,73.08,99.22
E01000238,127.42,91.28,99.88
E01000239,84.05714285714285,55.24285714285714,99.91428571428571
E01000240,89.7,39.599999999999994,99.3
E01000241,123.7,80.92,100.0
E01000242,110.72,69.8,99.52000000000001
E01000243,101.18333333333334,70.83333333333333,99.89999999999999
E01000244,121.975,92.925,99.725
E01000245,88.3,60.68333333333334,99.89999999999999
E01000246,101.6,83.84,100.0
E01000247,85.75,38.9,100.0
E01000248,94.78,79.17999999999999,94.97999999999999
E01000249,90.14,57.339999999999996,97.46000000000001
E01000250,70.15833333333333,35.916666666666664,94.68333333333334
E01000251,72.81666666666666,29.899999999999995,95.73333333333333
E01000252,89.41666666666667,49.35,100.0
E01000253,61.739999999999995,9.5,95.74
E01000254,97.1,65.03999999999999,99.14
E01000255,63.575,12.425,65.075
E01000256,48.92,0.0,88.26
E01000257,112.5,70.1,99.8
E01000258,72.24,4.92,99.32000000000001
E01000259,80.58571428571429,35.357142857142854,99.39999999999999
E01000260,54.08,0.0,99.53999999999999
E01000261,53.720000000000006,0.0,98.84
E01000263,50.05,0.0,94.575
E01000264,58.019999999999996,0.45999999999999996,99.14
E01000265,91.88333333333333,73.43333333333334,99.91666666666667
E01000266,137.6,96.525,100.0
E01000267,100.86,75.88,99.14
E01000268,78.713333334,45.28,92.1
E01000269,99.175,69.55,100.0
E01000270,83.08,30.48,100.0
E01000271,112.32000000000001,71.82000000000001,99.66
E01000272,102.2,62.35,100.0
E01000273,70.3,59.5,97.1
E01000274,99.64,77.9,100.0
E01000275,105.82000000000001,77.46000000000001,96.88
E01000276,175.725,98.225,100.0
E01000277,91.33333333333333,50.300000000000004,77.86666666666666
E01000278,163.925,99.8,100.0
E01000279,72.475,19.325,89.975
E01000280,102.725,83.225,99.625
E01000281,110.291666675,50.55,96.175
E01000282,131.1,76.24,99.76
E01000283,146.575,98.775,100.0
E01000284,92.18333333333334,67.31666666666666,97.53333333333335
E01000285,95.94,66.9,99.84
E01000286,99.17999999999999,91.08,100.0
E01000287,95.0,86.14,100.0
E01000288,100.96000000000001,64.16,99.82000000000001
E01000289,70.3,26.880000000000003,100.0
E01000290,90.08,57.86,74.9
E01000291,74.66,42.660000000000004,99.24
E01000292,86.3,45.980000000000004,99.88
E01000293,102.22,71.84,99.86
E01000294,84.28,40.08,100.0
E01000295,147.94,91.4,99.38
E01000296,115.28,88.58,99.9
E01000297,113.175,94.0,99.4
E01000298,129.76,91.26,99.78
E01000299,109.77500000000002,83.28333333333333,97.61666666666667
E01000300,137.64000000000001,89.72,100.0
E01000301,142.5,95.55,100.0
E01000302,88.38333333333334,62.5,99.43333333333334
E01000303,151.825,92.6,100.0
E01000304,144.04000000000002,98.34,100.0
E01000305,133.14375,24.8,74.8
E01000306,121.0875,95.3,100.0
E01000307,127.575,86.925,88.625
E01000308,125.84,38.839999999999996,79.34
E01000309,124.68000000000002,81.8,100.0
E01000310,112.008,83.55999999999999,94.03999999999999
E01000311,102.9,83.85,100.0
