lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031284,8.522,0.023,0.019,0.719,-0.8,-0.611,36.114,28.446,1173
E01031285,8.863,0.048,0.038,0.521,-0.86,-0.09,27.31,28.177,2176
E01031286,10.76,0.092,0.065,2.508,-0.157,-0.47200000000000003,24.143,5.118,1465
E01031287,2.201,0.022,0.014,1.078,-0.929,-0.9689999999999999,11.077,11.83,1542
E01031288,7.36,0.033,0.056,0.474,0.138,-1.115,22.3,7.9079999999999995,1747
E01031289,5.967,0.035,0.038,6.161,-0.553,-0.413,6.662999999999999,25.704,1499
E01031290,10.047,0.047,0.05000000000000001,3.347,-0.518,0.065,20.14,33.415,1716
E01031291,17.178,0.079,0.065,4.078,-0.128,1.045,20.07,36.475,1647
E01031292,4.304,0.031,0.027,2.136,-0.926,-0.47900000000000004,22.247,8.546,1465
E01031293,11.795,0.069,0.055,7.226,-0.489,-0.231,28.826,23.206000000000003,1757
E01031294,9.628,0.056,0.05800000000000001,0.47400000000000003,0.021999999999999995,0.154,16.599,15.513999999999998,1559
E01031295,3.471,0.02,0.028,1.038,-0.9639999999999999,-1.228,24.272,5.552,1139
E01031296,5.297,0.026,0.024000000000000004,1.3950000000000002,-0.787,-0.81,30.313,8.303,1536
E01031297,13.022,0.104,0.062,6.654,-0.582,-0.182,29.586,14.457,1928
E01031298,3.7300000000000004,0.04299999999999999,0.033,1.7829999999999997,-0.66,-0.6360000000000001,14.557000000000002,5.337,1670
E01031299,2.488,0.012,0.015,0.757,-1.362,-1.048,21.617,5.975,1374
E01031300,4.615,0.019,0.03,1.317,-1.178,-0.683,26.05,12.11,1656
E01031301,8.9,0.023,0.03,1.515,-0.781,-0.536,35.997,28.337,1316
E01031302,8.228,0.08,0.058,5.816,-0.066,-1.372,8.569,9.435,977
E01031303,13.186,0.094,0.072,10.091,0.118,-0.02,13.249,15.885,1534
E01031304,6.549,0.054,0.05899999999999999,5.825000000000001,-0.24800000000000003,-1.098,6.997,8.97,1504
E01031305,3.063,0.018,0.036,0.288,-0.38,-1.066,11.25,8.163,1442
E01031306,9.842,0.083,0.052,6.9670000000000005,-0.127,-0.20900000000000002,9.629,18.914,1379
E01031307,3.57,0.018,0.035,1.25,-0.607,-1.315,14.603,15.075,1392
E01031308,12.594,0.023,0.011,10.313,-1.593,-1.099,50.346,29.153999999999996,5029
E01031309,20.004,0.131,0.104,24.241,0.105,0.201,14.142999999999999,20.438,1858
E01031310,10.178,0.092,0.064,9.707,-0.379,-0.268,9.693,12.571,1349
E01031311,19.492,0.133,0.119,14.74,0.416,0.035,11.417,13.773,1402
E01031312,18.295,0.126,0.098,21.733,0.574,-0.706,13.309,11.456,1171
E01031313,4.558,0.034,0.042,6.014,-0.621,-0.7700000000000001,15.344999999999999,7.507,1368
E01031314,5.559,0.037,0.04,11.609,-0.619,-0.959,9.462,16.66,1320
E01031315,6.234,0.047,0.044,5.363,-1.245,-0.944,28.957,1.179,2154
E01031316,16.39,0.105,0.075,4.147,0.241,0.128,27.891,19.502,1445
E01031317,4.86,0.029999999999999995,0.028,1.287,-0.895,-0.046,19.45,13.463999999999999,1452
E01031319,12.709,0.067,0.066,6.604,-0.273,-0.101,20.867,32.416,1946
E01031320,12.901,0.081,0.068,5.59,-0.399,-0.067,32.531,9.669,1432
E01031321,27.142,0.179,0.138,37.642,0.401,0.354,18.506,10.62,1255
E01031322,14.312,0.084,0.066,14.788,-0.106,-0.467,29.696,15.858,1944
E01031323,8.646,0.074,0.052,3.372,-0.062000000000000006,-0.588,17.422,9.977,1575
E01031324,10.537,0.076,0.06,5.576,-0.287,-0.277,17.622,21.887,2031
E01031325,20.565,0.142,0.097,27.204,-0.035,-0.14,20.784,23.412,1486
E01031327,19.505,0.121,0.1,25.587,0.457,-0.08,19.07,6.627,1527
E01031328,7.01,0.049,0.043,9.384,-0.34,-0.247,16.588,7.557,2271
E01031329,7.894,0.058,0.057,7.094000000000001,-0.288,-0.392,17.11,5.832,2514
E01031330,8.417,0.052,0.05,16.24,-0.23399999999999999,-0.449,8.382,14.176000000000002,1448
E01031331,6.581000000000001,0.056,0.045,10.913,-0.49200000000000005,-0.396,11.235,6.614,1734
E01031332,26.4,0.184,0.13,24.951,0.855,0.24100000000000002,18.023,7.975999999999999,1300
E01031333,18.277,0.113,0.104,17.802,0.272,-0.437,17.546,21.471,1286
E01031334,13.286,0.09500000000000001,0.075,17.383,0.107,-0.007,11.531,3.6809999999999996,1413
E01031335,11.567,0.057,0.053,1.314,-0.273,0.72,15.233,29.186999999999998,1463
E01031336,17.526,0.059,0.052,3.483,0.501,1.149,19.373,36.0,2098
E01031337,11.07,0.059,0.059,1.201,-0.177,0.49,14.177,26.06,1526
E01031338,5.518,0.054,0.039,6.764,-0.207,-1.872,6.983,11.924,1159
E01031339,6.186,0.052,0.036,3.875,-0.399,-2.023,22.117,12.602,1200
E01031340,5.213,0.027,0.029,10.102,-0.489,-0.574,12.519,16.267,1464
E01031341,38.777,0.23699999999999996,0.169,60.091,0.8299999999999998,0.306,19.474,27.818,1371
E01031342,16.05,0.083,0.053,33.156,0.17,-0.386,23.29,20.341,1731
E01031343,13.291999999999998,0.072,0.06,33.539,-0.281,-0.356,8.048,22.15,1388
E01031344,26.022,0.122,0.136,37.353,0.603,-0.578,26.736,21.582,1383
E01031345,14.631,0.071,0.068,30.179,-0.507,-0.9849999999999999,29.207000000000004,16.744,1583
E01031346,14.397,0.085,0.085,26.739,-0.211,-0.569,11.554999999999998,17.987,1518
E01031347,28.594,0.185,0.135,34.297,0.459,0.397,16.353,27.934,1640
E01031348,31.836,0.21,0.15600000000000003,34.721,0.63,0.291,21.69,23.372999999999998,1735
E01031349,12.5,0.073,0.071,16.31,-0.128,0.014,11.252,18.261,1326
E01031350,28.103000000000005,0.164,0.147,34.079,0.546,-0.057,21.847,24.984,1205
E01031351,12.603,0.065,0.063,25.908,-0.339,0.249,11.169999999999998,15.025000000000002,1599
E01031352,15.679,0.106,0.083,22.090000000000003,-0.019,-0.467,16.052,18.38,1518
E01031353,7.496,0.02,0.025,15.401,-0.964,-0.74,30.379,14.046000000000001,1377
E01031354,10.765,0.06,0.063,19.284,-0.491,-0.437,18.232,15.993000000000002,1305
E01031355,19.34,0.121,0.102,36.483,-0.016,-0.583,10.06,22.637,1792
E01031356,8.405,0.054,0.049,8.442,-0.982,-0.544,29.319999999999997,8.813,2441
E01031357,9.072,0.067,0.049,8.85,-0.579,-0.064,19.542,14.165,2372
E01031358,31.411999999999995,0.208,0.145,36.235,0.49499999999999994,-0.139,29.923999999999996,25.108,1536
E01031359,16.435,0.096,0.075,25.465,0.117,-0.289,6.731000000000001,30.476,1325
E01031360,27.81,0.157,0.128,48.264,0.306,0.268,15.794000000000002,27.721,1579
E01031361,33.148,0.185,0.163,52.326,0.69,-0.254,18.937,30.0,1471
E01031362,13.835,0.071,0.051000000000000004,25.086,-0.21099999999999997,0.085,18.866,26.309,1310
E01031363,14.671999999999999,0.08599999999999998,0.094,29.341,-0.325,-1.183,17.496,10.415,1563
E01031364,21.632999999999996,0.151,0.119,22.352,-0.009,0.129,14.124,25.667,1640
E01031365,12.536,0.101,0.076,11.446,-0.267,-0.352,11.474,18.543000000000003,1972
E01031366,29.522,0.178,0.14,47.079,0.329,-0.038,20.702,28.373,1457
E01031367,2.899,0.027,0.029,3.184,-0.758,-0.9179999999999999,9.202,11.673,1312
E01031368,11.949,0.081,0.08,10.629,-0.24899999999999997,-0.57,15.401,18.412,1285
E01031369,7.915,0.06099999999999999,0.053,7.428,-0.45400000000000007,-0.57,11.245,19.559,1390
E01031370,21.345,0.123,0.129,32.766,0.06,-0.465,16.504,19.766,1532
E01031371,30.382000000000005,0.202,0.129,56.01100000000001,0.377,-0.312,22.966,18.561,1389
E01031372,30.487,0.18,0.167,41.596,0.375,-0.303,21.291,29.007,1217
E01031373,18.32,0.136,0.077,20.709,0.295,-0.283,17.82,22.819,1421
E01031374,11.319000000000003,0.076,0.065,12.995,-0.218,-0.99,14.741,24.528,1641
E01031375,14.258000000000001,0.09699999999999999,0.075,13.211,0.051,0.277,11.702,15.259,1364
E01031376,16.619,0.09,0.078,22.42,-0.083,-0.572,26.088,24.992,1302
E01031377,23.818999999999996,0.138,0.108,35.456,0.579,-0.079,17.557,22.266,1679
E01031378,17.146,0.099,0.063,34.448,0.117,-0.044,16.714,21.61,1409
E01031379,11.853,0.067,0.063,23.961,-0.39,-0.535,14.541,20.561,1625
E01031380,6.894,0.027999999999999997,0.033,9.154,-0.379,-0.7120000000000001,29.927,2.7430000000000003,1621
E01031381,11.951,0.055,0.065,12.496,-0.03,0.035,27.856,2.264,1668
E01031382,13.433,0.07,0.082,25.053,0.011,-0.6270000000000001,19.283,3.087,1690
E01031383,5.652999999999999,0.039,0.05,4.008,-0.32800000000000007,-0.996,20.136,2.373,1582
E01031384,7.336,0.058,0.054000000000000006,7.426,-0.254,-1.175,19.375,3.145,1704
E01031385,19.671,0.143,0.095,29.412,0.486,-1.145,19.388,6.389,1548
E01031386,26.253,0.11300000000000002,0.102,30.622999999999998,0.056,-0.085,40.095,38.056,1467
E01031387,12.017,0.091,0.079,15.974,-0.13,-1.229,16.289,7.156,1554
E01031389,6.053,0.026,0.039,7.340999999999999,-0.9689999999999999,-0.23899999999999996,25.617,6.188,2290
E01031390,15.833,0.094,0.078,18.372,0.068,-0.541,23.156,21.652,1337
E01031391,7.953,0.051,0.037,5.675,-0.4699999999999999,-0.039,19.755,19.537,1430
E01031392,19.542,0.05,0.047,6.753,-0.415,0.28,52.98,40.459,1530
E01031393,9.532,0.064,0.052,12.327999999999998,-0.507,-0.094,18.992,13.431,1862
E01031394,19.975,0.11899999999999998,0.103,27.191999999999997,0.285,-0.693,25.292,12.300999999999998,1725
E01031395,7.845,0.05199999999999999,0.049999999999999996,9.051,-0.081,-0.648,15.851,10.584,1526
E01031396,14.362,0.085,0.069,12.868,-0.2,-0.547,26.268,26.292,1879
E01031397,10.381,0.048,0.037,13.514,-0.654,-0.728,29.282,28.813,1885
E01031398,11.887999999999998,0.06,0.062,18.328,-0.09,-0.422,25.134,8.954,1513
E01031399,11.832,0.062,0.07,17.596,-0.030000000000000002,-0.206,21.39,2.349,1614
E01031400,30.464,0.146,0.134,32.83,0.604,0.372,26.773,39.756,1678
E01031402,16.509,0.076,0.079,19.733,-0.033,0.37,29.425,7.623,1670
E01031403,19.675,0.114,0.073,39.383,0.065,-0.156,23.467,19.813,1488
E01031404,44.036,0.253,0.161,71.325,1.403,0.228,28.810999999999996,13.096,1224
E01031405,15.84,0.089,0.063,38.869,0.09799999999999999,-0.27,16.025,12.006,1422
E01031406,14.695999999999998,0.086,0.05099999999999999,34.145,-0.09,-0.537,22.625,15.796,1355
E01031407,15.158,0.081,0.081,19.031,-0.057,-0.586,31.615000000000002,3.605,1521
E01031408,15.078,0.071,0.066,24.592,-0.347,-0.636,36.659,7.913,2096
E01031409,29.845,0.166,0.12100000000000001,50.296,0.403,0.235,27.156,25.034,1394
E01031410,19.002,0.101,0.074,23.993,0.162,-0.553,34.479,20.182,1302
E01031411,11.924,0.074,0.077,7.319,-0.041,-0.484,25.984,3.174,1372
E01031412,6.057,0.033,0.05500000000000001,4.947,-0.508,-1.681,23.867,4.159,1378
E01031413,7.0409999999999995,0.057,0.048,11.908,-0.656,-1.106,18.29,8.591,1515
E01031414,15.52,0.085,0.081,27.323999999999998,0.073,-0.47400000000000003,19.901,11.2,1498
E01031415,21.842000000000002,0.134,0.114,33.487,0.42499999999999993,-0.041,19.521,3.83,1509
E01031416,8.95,0.049,0.069,8.445,-0.129,-0.557,20.433,2.48,1565
E01031417,12.579,0.076,0.065,20.165,-0.342,-0.655,28.46,5.143,1630
E01031418,9.719,0.072,0.06,12.931,-0.133,-0.618,18.162,3.616,1986
E01031419,15.127999999999998,0.08099999999999999,0.08,12.281000000000002,0.016,0.485,18.411,16.173,1664
